trial_type,trial_number,question,slider_left,slider_right,slider_val,box_checked,startDate,startTime,story_reproduction,story_title,generation,chain,HitCorrect,age,gender,education,languages,enjoyment,comments,endTime,timeSpent,experiment_id
suspect_committedCrime,1,How likely is it that the suspect is / the suspects are guilty?,very unlikely,very likely,74,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
author_likability,2,How likable do you find the author of this story?,not likable,very likable,19,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
control3_true,3,How likely is it that this story contains more than five words?,very unlikely,very likely,79,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
control2_false,4,How likely is it that this passage is a Bible quote?,very unlikely,very likely,50,true,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
story_emotion,5,How emotionally is the story told?,not emotional,very emotional,75,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
control4_true,6,How reasonable is it to say that this is a story involving birds?,not reasonable,very reasonable,16,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
suspect_convictionJustified,7,How justified would a conviction be?,not justified,very justified,50,true,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
suspect_likability,8,How likable do you find the suspect(s)?,not likable,very likable,78,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
story_subjectivity,9,How objectively / subjectively written is the story?,very objective,very subjective,21,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
info_reliability,10,How reliable do you consider the presented information to be?,very unreliable,very reliable,74,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
author_judgmental,11,How judgmental is the author?,not judgmental,very judgmental,19,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
author_trust,12,How much do you trust the author?,not at all,very much,50,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
control1_false,13,How likely is it that this story is a Greek fairy tale?,very unlikely,very likely,50,true,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
suspect_conviction,14,How likely do you believe a conviction is?,very unlikely,very likely,68,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8
reader_emotion,15,How affected do you feel by the story?,not affected,very affected,24,false,Tue Jan 15 2019 10:39:46 GMT-0800 (Pacific Standard Time),1547577586179,"A high-quality surveillance video found that <u>a man and woman</u> were sending scam emails titled Important-- Please Respond"" to people asking for money. 5% of people fell for the scam and sent them money.""",scam_jail,2,b2lFKlRgR8OxDUPI,1,22,female,some_high_school,German,1,blub,1547577644793,0.9769,8